COUNTY,MUNICIPALITY,CLASS
Juniata,Beale Township,2nd Township
Juniata,Delaware Township,2nd Township
Juniata,Fayette Township,2nd Township
Juniata,Fermanagh Township,2nd Township
Juniata,Greenwood Township,2nd Township
Juniata,Lack Township,2nd Township
Juniata,Mifflin Borough,Borough
Juniata,Mifflintown Borough,Borough
Juniata,Milford Township,2nd Township
Juniata,Monroe Township,2nd Township
Juniata,Port Royal Borough,Borough
Juniata,Spruce Hill Township,2nd Township
Juniata,Susquehanna Township,2nd Township
Juniata,Thompsontown Borough,Borough
Juniata,Turbett Township,2nd Township
Juniata,Tuscarora Township,2nd Township
Juniata,Walker Township,2nd Township
